name,action,industry,country,yaleGrade
Continental,resumed local production after having previously suspended Russian factory,Consumer Discretionary,Germany,C
Corning,suspend almost all sales in Russia except minor life-saving products,Information Technology,United States,C
Credit Suisse,stop new business in Russia while meaningfully cutting exposure by 56%,Financials,Switzerland,C
Danske Bank,ban Russian investments in customers' portfolios,Financials,Denmark,C
DB Schenker,suspend direct shipments to Russia; continue Europe to Kazakhstan and Russia to Kazakhstan routes,Industrials,Germany,C
Deere,suspend shipments into Russia only,Industrials,United States,C
Discord,suspend renewal of paid and premium products and services for Russian clients; free services still available,Communication Services,United States,C
Donaldson Company,stop direct product shipments into Russia & Belarus; no statement about operations inside Russia nor about partnerships,Industrials,United States,C
Dover Corporation,ramping down sales activity and focusing on liquidating working capital,Industrials,United States,C
Dow,suspend investments/some purchases but not all,Materials,United States,C
Duolingo,make services free and stop gaining revenue,Information Technology,United States,C
E.ON,stop buying new Russian gas,Utilities,Germany,C
Eaton,stop shipments to Russia; maintains services,Industrials,United States,C
Eimskip,reduced operation in Russia,Industrials,Iceland,C
Elanco,scale back to critical products to ensure food security,Health Care,United States,C
Elsevier,suspended all sales except essential health products,Communication Services,Netherlands,C
Eni,suspend stipulation of new oil contracts; divest from investmens for rubles,Energy,Italy,C
Epic Games,stop in-game commerce for Russia,Consumer Discretionary,United States,C
Esri,curtail sales to Russia; no information about Russian office,Information Technology,United Kingdom,C
Ferrero,suspend non-essential business activity,Consumer Staples,Italy,C
Fieldfisher,terminate certain Russian relationships,Industrials,United Kingdom,C
FIGMA,continue current business & stop all new sales efforts in Russia,Information Technology,United States,C
Fortive,suspend most operations except medical essentials,Industrials,United States,C
Gap Inc,online sales running; stopped shipments to franchisees in Russia,Consumer Discretionary,United States,C
Garmin,stop all future trade with Russia; still provide GPS services to devices in Russia (incl. Russian military),Consumer Discretionary,United States,C
GE,stopped sales in Russia and Belarus except medical equipment and support for electric power generation and transmission,Industrials,United States,C
GEA Group,suspend new investments,Industrials,Germany,C
General Mills,suspended sales of global brands in its JV,Consumer Staples,United States,C
Geodis,suspend services in Russia & reduce shipments to and from Russia significantly,Industrials,France,C
Georg Fischer,temporary suspension of deliveries to Russia,Industrials,Switzerland,C
Goldman Sachs,wind down business in Russia but buy Russian debt,Financials,United States,C
Groupe BPCE,suspend many transactions and cease new financing,Financials,France,C
Hellenic Bottling Company,vaguely suspend some operations in Russia,Consumer Staples,Greece,C
Herbalife,suspend sales and shipments to Russia but independent sellers remain operational,Consumer Staples,United States,C
HILTI,limiting sales and workforce in Russia,Industrials,Liechtenstein,C
Hostinger,stop accepting payments for new purchases and renewals,Information Technology,Lithuania,C
Idemitsu Kosan,stop coal imports; lubricants business unchanged,Energy,Japan,C
Indesit,"suspend production due to ""full warehouses""",Consumer Discretionary,Italy,C
IndusInd Bank,can no longer clear rupee rouble conversions,Financials,India,C
Ingersoll Rand,scale back to only health critical services,Industrials,United States,C
Ingka,"stop all exports, IKEA production; keep open retail centers (Mega)",Consumer Discretionary,Netherlands,C
"Inspire Brands (Dunkin' Donuts, Baskin Robins)",halt corporate support for franchisees,Consumer Discretionary,United States,C
International Biathlon Union,Russians to compete as neutral athletes,NGO,Austria,C
IPG Photonics,suspend new investments and reduce manufacturing in Russia,Information Technology,United States,C
Iskratel,paused some business with Russia,Communication Services,Slovenia,C
Iveco,suspend deliveries to Russia; truck JV still in operations,Industrials,Italy,C
J&T Finance Group,curb its activities in Russia,Financials,Slovakia,C
JPMorgan,wind down business in Russia but buy Russian debt,Financials,United States,C
Julius Baer,"wind down Russian office, suspend new business in Russia, reduce current exposure; retain current Russian clients",Financials,Switzerland,C
Kellogg,suspend new investments except essentials (minor),Consumer Staples,United States,C
Kotak Mahindra,paused transaction through cards in Russia,Financials,India,C
Kuehne + Nagel AG,"suspend all shipments to Russia (except Pharma, healthcare and humanitarian supplies)",Industrials,Switzerland,C
Lear Corporation,still operating in Russia; no disclosed publicly,Consumer Discretionary,United States,C
Legal & General,reduce exposure,Financials,United Kingdom,C
Linde,divest certain industrial assets and suspend new development/investments,Materials,Germany,C
Lotos,stopped purchasing Russian spot oil,Energy,Poland,C
Loyalty Ventures,scale back most services and stop new sales,Consumer Discretionary,United States,C
Luxottica,restrict Russian operations to medical services,Consumer Discretionary,Italy,C
LyondellBasell,end all business with state-controlled entities,Materials,Netherlands,C
Mahle,halt new business & scale back shipments to Russia significantly,Industrials,Germany,C
Mars,scale back business and stopped advertising/new investments/exports in Russia,Consumer Staples,United States,C
Marubeni,scaling down but still in numerous projects across Russia,Industrials,Japan,C
Maruti Suzuki,suspend car exports,Consumer Discretionary,India,C
Mashreqbank,halt loans to Russia,Financials,United Arab Emirates,C
Microsoft,suspend new sales in Russia but continue existing access,Information Technology,United States,C
Miele,suspend operations except exempt healthcare,Consumer Discretionary,Germany,C
Milliken & Co,still operating in Russia,Materials,United States,C
Miro,close office in Moscow & pause new sales,Information Technology,Netherlands,C
Mitsubishi UFJ Financial Group,Japanese expats working for MUFG Bank (Eurasia) have moved out of Russia to work outside of the country on a temporary basis,Financials,Japan,C
Moody's,suspend commercial operations within Russia,Financials,United States,C
Nalco Water (Ecolab),suspended services except services critical to health,Industrials,United States,C
Natura,suspend some subsidiary operations but not all,Consumer Staples,United States,C
Nemetschek Group,suspend any new business in Russia & all business with sanctioned entities,Information Technology,Germany,C
NielsenIQ,suspend consulting service but not core business,Industrials,United States,C
Nokian Tyres,meaningfully reduce production in Russia,Consumer Discretionary,Finland,C
Nordea Bank,stop processing payments to and from Russia & Belarus,Financials,Finland,C
Norsk Hydro,"reduced deliveries and supplies to the contractual minimum for some commitments, and is suspending deliveries and supply in several contracts",Materials,Norway,C
Okta,halt new sales to Russia but continue supporting current customers,Information Technology,United States,C
Oriflame Cosmetics,suspend online sales to end consumers but not others,Consumer Staples,Switzerland,C
Orion,stop exports to Russia,Health Care,Finland,C
Orsted,"end coal and biomass purchases, refuse to pay for gas in roubles",Utilities,Denmark,C
Otis Worldwide,exploring options for exit; while no new investments/new contracts but fulfill existing agreements,Industrials,United States,C
OTP Bank,wind down corporate lending,Financials,Hungary,C
Paccar,stop driect sales in Russia but continue selling through thrid-parties,Industrials,United States,C
Paul Wurth,"stopped new business, closed sites, and scaled back serviceds",Industrials,Luxembourg,C
Pepsi,suspend operations in Russia except essentials,Consumer Staples,United States,C
Phibro Animal Health Corp,curtail some operations (i.e. ethanol) and substantial sales hit,Health Care,United States,C
Philip Morris,"explore strategic alternatives, while stop new investments including $150MM, paused marketing, canceled product launches",Consumer Staples,United States,C
Pirelli,suspend new investments in Russia and scale back production,Consumer Discretionary,Italy,C
PKN Orlen SA,"stopped maritime oil shipments, diversifying supply",Energy,Poland,C
Playtika,temporarily block new downloads games in Russia,Information Technology,Israel,C
PPG,scale back majority of operations and suspend new investments in Russia,Materials,United States,C
Rational,suspend deliveries to Russia but retain operations inside Russia,Consumer Discretionary,Germany,C
Rosenbauer,no new business; continue servicing fire engine pumps in Russian JV,Industrials,Austria,C
Royal DSM,stopped all operations in Russia other than basic food/feed/essential health activities,Materials,Netherlands,C
Sabre,suspend certain partnerships with Aeroflot,Information Technology,United States,C
Saint-Gobain,suspend exports and imports but not local operations,Industrials,France,C
SAP,stop all sales to Russia and shut down cloud operations but some carveouts,Information Technology,Germany,C
SBI,stopped processing transactions of sanctioned Russian entities,Financials,India,C
Schaeffler,stop deliveries to Russia; continue manufacturing in Russia,Industrials,Germany,C
Scopely,suspend marketing and commerce,Communication Services,United States,C
Shutterstock,not accept new contributors from Russia; continue current businesses & still offer services to Russia,Communication Services,United States,C
SHV,"suspend new investments, new projects, new exports; continue to work with suppliers and customers in Russia",Energy,Netherlands,C
Signet Jewelers,suspend business interaction with Russian-owned entities; no information about other Russian customers,Consumer Discretionary,United States,C
Sika,significantly scale back business in Russia; stop production; stop investments,Industrials,Switzerland,C
Sinopec,suspend $500MM new investment and significant operations and partnerships,Energy,China,C
Skadden,suspend certain operations in Russia but not all,Industrials,United States,C
Skandinaviska Enskilda Banken,scaling down operations in Russia,Financials,Sweden,C
Sketchers,suspended shipments to Russia but online sales continue,Consumer Discretionary,United States,C
Spotify,"closed office and suspend service but still allow Kremlin-associated artists (e.g. Gazmanov, Gagarina)",Communication Services,Sweden,C
Systemair,Temporarily discontinuing all deliveries,,Sweden,C
Tennant,substantially suspending sales to Russia,Industrials,United States,C
Terex Corporation,stop accepting new orders from continuing dealer network in Russia,Industrials,United States,C
Tetra Pak,stopped new investments and scaled down activities,Industrials,Sweden,C
ThyssenKrupp,Stopped new business and investments. Closed plant,Materials,Germany,C
Tikkurila,reduce Russian operations; stop sales to aerospace; consider exiting Russia,Materials,Finland,C
Tokio Marine,suspend new contracts and repatriate employees,Financials,Japan,C
TomTom,"turn off live traffic for Russia, cut ties with several Russian customers, some customers are still under review",Information Technology,Netherlands,C
Total Energies,no longer will provide capital for new projects in Russia/stop purchasing Russian oil; withdraw from Acrtic LNG 2 project,Energy,France,C
Toyota,stop production at its St. Petersburg plant and stop imports of vehicles; no statement about retail operations and services inside Russia,Consumer Discretionary,Japan,C
Trafigura,freeze investments and stop purchasing crude oil from Rosneft; maintain shareholding in Russia,Energy,Singapore,C
Triglav Group,not renewing or entering into new business,Financials,Slovenia,C
Tungsram,stopped producing products and projects,Utilities,Hungary,C
U.S. Polo Assn.,stopped all shipments of goods into Russia and shut down all branded digital operations but phased approach to closing physical stores,Consumer Discretionary,United States,C
UBS,suspend new business in Russia and reduce current exposure by helping clients unwind Russia securities; reducing Russian client services,Financials,Switzerland,C
Uniper SE,suspend new Russian gas purchases/divest Unipro,Utilities,Germany,C
Valentino,suspend online sales; no information about on-site sales,Consumer Discretionary,Italy,C
Vattenfall,shifting energy purchases away from Russia,Utilities,Sweden,C
Wartsila,suspend all deliveries and new sales to Russia; continue ongoing projects,Industrials,Finland,C
Westinghouse Air Brake Technologies Corp,stopped sales to Russia,Industrials,United States,C
Whirlpool,limiting production in Russia,Consumer Discretionary,United States,C
Wilo,stop shipments to and from Russia; no comment about production in Russia,Industrials,Germany,C
Wolters Kluwer,scale back to just health products in Russia,Financials,Netherlands,C
Yum Brands,suspend operations of company-owned restaurants and new investments in Russia,Consumer Discretionary,United States,C
ZF Friedrichshafen,stop all deliveries to Russia; maintain JVs,Consumer Discretionary,Germany,C
Zoetis,suspend investments & focus on supply of medicines and vaccines,Health Care,United States,C
3M,suspend operations in Russia,Industrials,United States,B
AAK,halted delivery and sales,Consumer Staples,Sweden,B
Abrdn,suspend investments in Russia and reduce exposure,Financials,United Kingdom,B
ACCA,suspend operations in Russia and Belarus,Industrials,United Kingdom,B
Acer,suspend its business in Russia,Information Technology,Taiwan,B
Acne Studios,put all Russian activities on hold,Consumer Discretionary,Sweden,B
Adamed,halt sales and production in Russia,Health Care,Poland,B
Adidas,suspend operations in Russia,Consumer Discretionary,Germany,B
ADP,suspend sales/services to Russia,Information Technology,United States,B
AICPA,suspend sale and delivery of services indefinitely,Industrials,United States,B
Air Astana,suspend flights to Russia,Industrials,Kazakhstan,B
Air France,halt flight to and from Russia,Industrials,France,B
Air Malta,suspend all flights to and from Russia,Industrials,Malta,B
Airbnb,block bookings and block accepting guests in Russia,Consumer Discretionary,United States,B
Akamai,suspend sales in Russia,Information Technology,United States,B
Akin Gump,suspend operations in Russia,Industrials,United States,B
AL-KO Vehicle Technology,suspend deliveries to Russia and Belarus,Consumer Discretionary,Germany,B
Alaska Airlines,temporarily suspend partnership with Russian airline,Industrials,United States,B
Alimentation Couche-Tard,suspend operations,Consumer Staples,Canada,B
Alstom,suspend shipments to Russia,Industrials,France,B
AM Best,suspend all commercial activities to Russian clients,Information Technology,United States,B
Amazon,suspend operations in Russia,Consumer Discretionary,United States,B
Ambarella,suspend shipments into Russia,Information Technology,United States,B
AMD,suspend all sales to Russia,Information Technology,United States,B
Amdocs,stop all new sales of product and services in Russia,Information Technology,United States,B
Amer Sports,suspend all commercial activities in Russia,Consumer Discretionary,Finland,B
American Express,suspend operations in Russia,Financials,United States,B
Amica,suspended Russian exports,Consumer Discretionary,Poland,B
Amway,suspend operations in Russia,Consumer Staples,United States,B
Analog Devices,suspend sales to Russia according to sanctions,Information Technology,United States,B
Ansys,suspend all sales and business activity,Information Technology,United States,B
Aon PLC,suspend operations in Russia,Financials,United Kingdom,B
Apple,suspend all official site sales; turn off select apps and services,Information Technology,United States,B
Arla,suspends all operations,Consumer Staples,Denmark,B
ARM,suspend shipments according to sanctions,Information Technology,United Kingdom,B
Asian Infrastructure Investment Bank,curtail Russian access to capital markets,Financials,China,B
Asos,suspend all shipments to Russia,Consumer Discretionary,United Kingdom,B
Association of International Certified Professional Accountants,indefinite suspension of services within Russia,Industrials,United States,B
Aston Martin,suspend all shipments to Russia,Consumer Discretionary,United Kingdom,B
Asus,suspend shipments to Russia,Information Technology,Taiwan,B
Atlas Copco,suspend deliveries in Russia,Industrials,Sweden,B
Atlassian,suspend software sales to Russia,Information Technology,Australia,B
Audi,suspend operations at Kaluga assembly plant,Consumer Discretionary,Germany,B
Austrian Airlines,cancel Russian flights until July,Industrials,Austria,B
Authentic Brands Group - Reebok,successfully completed suspension of all operations,Consumer Discretionary,United States,B
Autodesk,suspend operations in Russia,Information Technology,United States,B
Avast,suspend all operations in Russia,Information Technology,Czech Republic,B
AXA,stop underwriting new insurance & stop renewals,Financials,France,B
AXA Investments Managers,pause investments & prohibit new subscriptions,Financials,France,B
Azerbaijan Airlines,suspend flights to Russia,Industrials,Azerbaijan,B
B Lab,suspend Russian companies from obtaining certifications,NGO,United States,B
Badminton World Federation,cancel all tournaments,NGO,Malaysia,B
Bain,suspend consulting for all Russian businesses,Industrials,United States,B
Baker Hughes,no longer provide engineering services to Russian LNG developers,Energy,United States,B
Bang & Olufsen,suspended deliveries and sales to Russia,Information Technology,Denmark,B
Bank of China,curtail Russian access to capital markets,Financials,China,B
BCG,suspend operations; Moscow office open,Industrials,United States,B
Bentley,suspend all shipments to Russia,Consumer Discretionary,United States,B
Bentley Systems,pause sales to Russia & Belarus,Information Technology,United States,B
Big Fish Games,suspend downloadable game business in Russia,Communication Services,United States,B
Bitdefender,suspend all sales to Russia,Information Technology,Romania,B
BlackBerry,cease all activities in Russia,Information Technology,Canada,B
BMC,suspend all business with Russia & Belarus,Information Technology,United States,B
BMW,suspend exports to and production in Russia,Consumer Discretionary,Germany,B
BNP Paribas,suspend new business in Russia/curtail financing,Financials,France,B
Boeing,suspend operations in Russia/titanium purchases,Industrials,United States,B
Bombardier,restrict Russian business,Industrials,Canada,B
Boohoo Group,suspend all shipments to Russia,Consumer Discretionary,United Kingdom,B
Booking,suspend bookings in Russia,Consumer Discretionary,United States,B
Boosteroid Cloud Gaming,suspend services to Russia,Information Technology,United Arab Emirates,B
Boryszew,suspended operations in Russia,Materials,Poland,B
Brav,suspend sales and operations in Russia,Consumer Discretionary,Norway,B
Bridgestone Tire,suspend manufacturing in Russia and shipments into,Consumer Discretionary,Japan,B
British Airways,cancel Russian flights,Industrials,United Kingdom,B
Brown-Forman,suspend commercial operations in Russia,Consumer Staples,United States,B
BUDVAR Centrum Sp. z.o.o.,,Industrials,Poland,B
Budweiser Budvar,suspends production and supply of beer,Consumer Staples,Czech Republic,B
Bulgaria Air,suspend flights to Russia,Industrials,Bulgaria,B
Bulgarian Postbank,stop operations in Russian ruble,Financials,Bulgaria,B
bunq.com,suspend SWIFT transfers to sanctioned banks,Financials,Netherlands,B
Burberry,suspend all shipments to Russia,Consumer Discretionary,United Kingdom,B
Burger King (Restaurant Brands),halt corporate support for franchises,Consumer Staples,United States,B
Buta Airways,suspend flights to Russia,Industrials,Azerbaijan,B
Canada Goose,suspend all shipments to Russia,Consumer Discretionary,Canada,B
Canadian Tire,close Russia stores,Consumer Discretionary,Canada,B
Canon,suspend deliveries in Russia,Information Technology,Japan,B
Canonical,suspend support & professional services,Information Technology,United Kingdom,B
Capgemini,stop services to Russia,Information Technology,France,B
Cargolux,suspend all shipments into and through Russia,Industrials,Luxembourg,B
Cargotec,stop all sales to Russia & Belarus,Industrials,Finland,B
CBRE,discontinue Russian business,Real Estate,United States,B
CCC,"suspends operations in Russia (delivery to Russia, further expansion)",Consumer Discretionary,Poland,B
CD Projekt,suspends sales of products in Russia & Belarus,Communication Services,Poland,B
CERN,suspend Russia's obeserver status; halt new collaborations,NGO,Switzerland,B
Chanel,suspend all operations in Russia,Consumer Discretionary,France,B
Chevron,"Pausing all transactions and sales of refining products, lubricants, and chemicals",Energy,United States,B
Chipperfield,suspend operations in Russia,Industrials,United Kingdom,B
Cie Automotives,temporarily shut down aluminum plant,Consumer Discretionary,Spain,B
Ciena,suspend business operations in Russia,Communication Services,United States,B
Citi,expand the scope of the exit process,Financials,United States,B
Citrix,suspend all sales to Russia,Information Technology,United States,B
Cleary Gottlieb,suspend Russian operations,Industrials,United States,B
Clorox,suspend business activity in Russia,Consumer Staples,United States,B
Clutch,suspend all business activity,Industrials,United States,B
CMA CGM,suspend all shipments to Russia,Industrials,France,B
CME Group,suspend acceptance of certain Russian commodities,Financials,United States,B
CNH Industrial,suspend sales to Russia,Industrials,United Kingdom,B
Cogent Communications,cut all internet to Russia,Communication Services,United States,B
Columbia Sportswear,pause taking any new orders from Russian distributor & remove future sales,Consumer Discretionary,United States,B
Commerzbank,suspend operations in Russia,Financials,Germany,B
Conde Nast,suspend all publishing operations,Communication Services,United States,B
Conformis,suspend distribution operations in Russia,Health Care,United States,B
Costco,stopped purchases from Russia,Consumer Discretionary,United States,B
Coupa,suspend operations in Russia,Information Technology,United States,B
Coursera,platform available; refrain from financial benefits from the region; suspend some content,Consumer Discretionary,United States,B
Credit Agricole,suspend all services in Russia,Financials,France,B
Crocs,suspend D2C business,Consumer Discretionary,United States,B
Curve,no longer allow Russian payment cards & transaction in RUB,Financials,United Kingdom,B
Cyprus Airways,suspend flights to Russia,Industrials,Cyprus,B
d&b audiotechnik,suspend all shipments to Russia,Consumer Discretionary,Germany,B
DACHSER,suspend deliveries to Russia,Industrials,Germany,B
Daimler Truck,freeze activities in Russia,Consumer Discretionary,Germany,B
Damen,"stop supplying ships to Russia, halt new contracts",Industrials,Netherlands,B
Danaher,suspended shipments to Russia except for humanitarian medical products,Health Care,United States,B
Danone,Announced Transfer,Consumer Staples,France,B
Dassault Aviation,suspend all shipments to Russia,Industrials,France,B
Dassault Systèmes,suspend business operations in Russia,Information Technology,France,B
Debevoise & Plimpton,Wind down Russia operations; local partners and counsel open Russian business,Industrials,United States,B
Decathlon,suspend the operation of its stores in Russia,Consumer Discretionary,France,B
Deckers,suspend business in Russia,Consumer Discretionary,United States,B
Dell,suspend all shipments to Russia,Information Technology,United States,B
Demant,suspend all trade with Russia,Health Care,Denmark,B
Denso,suspend all shipments into Russia,Consumer Discretionary,Japan,B
Depositphotos,stop all sales and services to Russia,Consumer Discretionary,Ukraine,B
DHL,suspend all shipments to Russia,Industrials,Germany,B
Diadora,suspend contracts with Russian commercial partners,Consumer Discretionary,Italy,B
Diageo,suspend all shipments to Russia,Consumer Staples,United Kingdom,B
Diebold Nixdorf,suspend shipments and sales of any kind into Russia.,Information Technology,United States,B
DirecTV,cut Kremlin backed TV networks,Communication Services,United States,B
Discover,suspend efforts to establish Russian presence,Communication Services,United States,B
Disney,pause new content releases,Communication Services,United States,B
DJI,stop selling drones in Russia,Information Technology,China,B
DKV Mobility,stop all activity for Russian domestic business,Information Technology,Germany,B
DMG Mori,stop all business activities in Russia,Industrials,Japan,B
Dreamstime,restrict download plans and payments for Russian customers,Communication Services,United States,B
DSV A/S,suspend all shipments to Russia,Industrials,Denmark,B
DuPont,suspend operations in Russia and Belarus,Materials,United States,B
eBay,suspend all shipments to Russia,Consumer Discretionary,United States,B
EDF,suspend Moscow office,Utilities,France,B
eDreams ODIGEO,cease all operations involving Russia,Consumer Discretionary,Spain,B
Edrington,suspend all shipments to Russia,Consumer Staples,United Kingdom,B
Egon Zehnder,stop operations in Russia,Industrials,United States,B
Electrolux,suspending all shipments into Russia,Consumer Discretionary,Sweden,B
Elopak,suspends all activities,Materials,Norway,B
Embraer,suspend supplying parts and services to Russia,Industrials,Brazil,B
Epiroc,pause all deliveries to Russia and no operations domestically,Consumer Staples,Sweden,B
Eppendorf SE,suspend exports to Russia; keep rep office open,Health Care,Germany,B
Epson,suspend exports to Russia & Belarus,Consumer Discretionary,Japan,B
Equinix,suspend Russian partnerships and customers,Real Estate,United States,B
Ericsson,suspend all shipments to Russia,Information Technology,Sweden,B
ESET,suspend all sales to Russia,Information Technology,Slovakia,B
Estee Lauder,suspend operations in Russia,Consumer Staples,United States,B
European University Association,cease cooperation with governmental agencies in Russia,NGO,Belgium,B
Exiger,halting all activity and due diligence in Russia,Industrials,United States,B
Exor,holding company's assets are suspending operations,Financials,Netherlands,B
Famur,suspend Russian exports,Industrials,Poland,B
Farfetch,suspend all shipments to Russia,Consumer Discretionary,United Kingdom,B
Fédération Internationale de Motocyclisme,"ban Russian, Belarusian licence holders",NGO,Switzerland,B
FedEx,suspend all shipments to Russia,Industrials,United States,B
Ferragamo,suspend all shipments to Russia,Consumer Discretionary,Italy,B
Ferrari,suspend sales in Russia,Consumer Discretionary,Italy,B
FIBA,ban Russian teams and officials from participating in basketball events,NGO,Switzerland,B
FIDE,suspend Russian & Belarussian teams from participation in tournaments,NGO,Switzerland,B
FIFA,ban Russian athletes from competing,Industrials,Switzerland,B
Finnlines,suspend all traffic to Russia,Industrials,Finland,B
Fitch,suspend operations in Russia,Financials,United States,B
Fiverr,suspend business,Consumer Discretionary,Israel,B
Forest Stewardship Council (FSC),suspend all trading certificates in Russia & Belarus and block all controlled wood sourcing from the two countries,NGO,Germany,B
Fortinet,suspend operations in Russia,Information Technology,United States,B
Foster + Partners,stop work on projects in Russia,Industrials,United Kingdom,B
Fugro,suspend all projects in Russia,Industrials,Netherlands,B
Fujitsu,cease orders and shipments to Russia,Information Technology,Japan,B
Galp,suspend Russian oil-product purchases; eliminate Russian exposure,Energy,Portugal,B
Ganni,freeze all trade with Russia,Consumer Discretionary,Denmark,B
Geberit,discontinue all operations in Russia but continue to pay employees,Industrials,Switzerland,B
Gestamp,stopped production,Consumer Discretionary,Spain,B
GetYourGuide,suspend all Russian operations,Consumer Discretionary,Switzerland,B
GM,suspend all shipments to Russia,Consumer Discretionary,United States,B
Goodyear,suspend shipments of tires to Russia,Consumer Discretionary,United States,B
Grainpro,suspend all operations in Russia,Materials,United States,B
Grammarly,block users located in Russia and Belarus from using products or services,Information Technology,United States,B
Graphisoft,"suspended new activities, disabled access to our commercial services in Russia",Information Technology,Hungary,B
Grupa Azoty,stopped exporting its products to Russia or Belarus,Materials,Poland,B
Grupo Antolín,suspend operations in Russia,Consumer Discretionary,Spain,B
Grupo Bimbo,"Suspended distribution of the Bimbo Brand at retail, but left Moscow Bimbo QSR plant operating for food service products",Consumer Staples,Mexico,B
H&M,Winding down business entirely,Consumer Discretionary,Sweden,B
Hannover Re,halt underwriting business,Financials,Germany,B
Hapag Lloyd,suspend all shipments to Russia,Industrials,Germany,B
HARIBO,suspend production to Russia,Consumer Staples,Germany,B
Harley-Davidson,suspending all business in Russia,Consumer Discretionary,United States,B
Hasbro,pause toy shipments o Russia,Consumer Discretionary,United States,B
Heraeus,stop goods and money flows to Russia,Industrials,Germany,B
Hermes,suspend all operations in Russia,Consumer Discretionary,France,B
Herzog & de Meuron,suspend work on Russian projects,Industrials,Switzerland,B
Hexagon,freeze all business activities,Information Technology,Sweden,B
HHLA,suspend entry of Russian shipments at owned ports,Financials,Germany,B
Hitachi Construction,suspend all shipments to Russia,Industrials,Japan,B
HMM,suspend all shipments to Russia,Industrials,South Korea,B
Honda,suspend all shipments to Russia,Consumer Discretionary,Japan,B
Honey Group,suspend sales to Russia,Consumer Staples,Finland,B
Honeywell,suspend virtually all sales in Russia,Industrials,United States,B
Hugo Boss,temporarily close stores and e-commerce sites,Consumer Discretionary,Germany,B
Hunkemoller,suspend operations of on-site and online stores,Consumer Discretionary,Netherlands,B
Husqvarna,stop exports to Russia & halt investments,Consumer Discretionary,Sweden,B
Hyundai,suspend manufacturing in Russia,Consumer Discretionary,South Korea,B
Iberia,canceling flights to Russia,Industrials,Spain,B
ICBC,curtail Russian access to capital markets,Financials,China,B
Icecat,suspends activities for the Russian market,Industrials,Netherlands,B
Illinois Tool Works,suspension of sales to Russia,Industrials,United States,B
Indeed,suspend service in Russia,Information Technology,United States,B
Inditex,close Russian stores and suspend sales,Consumer Discretionary,Spain,B
Institute of Internal Auditors,suspend business in Russia,Industrials,United States,B
Intel,suspend sales to Russia,Information Technology,United States,B
Interactive Advertising Bureau,suspend licensing in Russia and Belearus,Industrials,United States,B
Intercomm Foods,Stopping shipments to Russia,Consumer Staples,Greece,B
International Canoe Federation,suspend Russian athletes & relocate Russian events,NGO,Switzerland,B
International Federation of Sport Climbing,suspend Russian teams from participation; supend Russian events,NGO,Italy,B
International Paralympic Committee,bar Russian atheletes,NGO,Germany,B
International Tennis Federation,suspend Russian partnerships,NGO,United Kingdom,B
Intertek,suspend operations,Industrials,United States,B
Intuit,suspend customer accounts,Information Technology,United States,B
Jablotron,halts sales and blocks data services to products assempled in Russia,Consumer Discretionary,Czech Republic,B
JCB,suspend operations in Russia,Financials,Japan,B
JCB,pause business in Russia,Industrials,United Kingdom,B
JD Sports,suspend operations in Russia,Consumer Discretionary,United Kingdom,B
Johnson Controls,suspend operations in Russia,Industrials,Ireland,B
Julipedra,suspended exports to Russia,Materials,Portugal,B
Jungheinrich,keep Russia office; stop exports to Russia,Industrials,Germany,B
Juniper Networks,suspend sales in Russia,Information Technology,United States,B
JYSK,temporarily close Russian stores,Consumer Discretionary,Denmark,B
Kärcher,suspend exports to Russia & halt investments,Consumer Discretionary,Germany,B
KBC Group,suspend transactions with certain Russian banks,Financials,Belgium,B
Kepenou Mills,stop wheat orders from Russia,Consumer Staples,Greece,B
Kering,close all stores in Russia,Consumer Discretionary,France,B
Kerry Group,suspending operations,Consumer Staples,Ireland,B
Kesko,stop sales to Russia and imports from Russia,Consumer Staples,Finland,B
KGHM,"suspended Russian contracts, subsidiary ZANAM Vostok in Russia",Materials,Poland,B
Kingston,suspend shipments to Russia,Information Technology,United States,B
KLM,cancel flights to and from Russia,Industrials,Netherlands,B
Knight Frank,suspend substantive operations in Russia,Real Estate,United Kingdom,B
Kodak Alaris,suspend all business activity into Russia & Belarus,Information Technology,United Kingdom,B
Komatsu,suspend all shipments to Russia,Industrials,Japan,B
KONE,suspend deliveries to Russia & stop new Russian orders,Industrials,Finland,B
Konecranes,stop all orders from Russia,Industrials,Finland,B
Konica Minolta,new shipments suspended,Consumer Discretionary,Japan,B
Körber,suspend new business with Russia,Industrials,Germany,B
Korean Air Lines,no flying over Russian airspace; Russian flights cancelled,Industrials,South Korea,B
Korn Ferry,suspend business in Russia,Industrials,United States,B
Krombacher,stopped exports to Russia,Consumer Staples,Germany,B
Kubota,cancel production of equipment orders from Russian,Industrials,Japan,B
KUKA,suspend all business with Russia,Industrials,Germany,B
Kurokesu,suspend shippments to Russia,Consumer Discretionary,Lithuania,B
Kyocera,suspend deliveries of all devices to Russia,Information Technology,Japan,B
L'Oreal,suspend operations in Russia,Consumer Discretionary,France,B
La Lorraine,halt its 50mn euro investment in Moscow,Consumer Staples,Belgium,B
Lanxess,suspend business activities with Russia,Materials,Germany,B
LCBO,suspend Russian-produced products,Consumer Staples,Canada,B
Lego,suspend all shipments to Russia,Consumer Discretionary,Denmark,B
Leica Camera AG,suspend operations in Russia,Information Technology,Germany,B
Leonardo,pause all JVs in Russia; helicopter production,Industrials,Italy,B
Les Ballets de Monte-Carlo,suspend performance rights for his ballet,Consumer Discretionary,Monaco,B
